QTY: 180 | UNIT: g | NAME: poulet
QTY: 50 | UNIT: g | NAME: nougatine
QTY: 65 | UNIT: g | NAME: amandes en poudre
QTY: 1 | UNIT: cuillères à soupe | NAME: moutarde
QTY: 1 | UNIT: gousses | NAME: vanille
QTY: 1 | UNIT: cuillères à café | NAME: rases de levure chimique
QTY: 70 | UNIT: g | NAME: gruyère
QTY: 7 | UNIT: cl | NAME: lait battu
QTY: 80 | UNIT: g | NAME: noix de coco
QTY: 250 | UNIT: g | NAME: pâte d'amande
QTY: N/A | UNIT: unité | NAME: décor en sucre
QTY: 2 | UNIT: gouttes | NAME: fleur d'oranger
QTY: 300 | UNIT: g | NAME: butternut
QTY: 1 | UNIT: cuillères à soupe | NAME: sucre glace
QTY: N/A | UNIT: unité | NAME: muffin
QTY: 250 | UNIT: g | NAME: fruits rouges
QTY: 5 | UNIT: cuillères à soupe | NAME: fromage râpé au choix
QTY: 1 | UNIT: unité | NAME: petits suisses
QTY: 50 | UNIT: g | NAME: yaourt nature
QTY: 230 | UNIT: g | NAME: myrtilles surgelées
QTY: 500 | UNIT: g | NAME: farine
QTY: 140 | UNIT: g | NAME: farine blanche
QTY: 50 | UNIT: g | NAME: sucre
QTY: 2 | UNIT: cuillères à soupe | NAME: sucre de canne
QTY: 1 | UNIT: tablettes | NAME: copeaux de chocolat
QTY: 3 | UNIT: cuillères à soupe | NAME: pâte de spéculoos
QTY: 4 | UNIT: gousses | NAME: ail
QTY: 1 | UNIT: cuillères à soupe | NAME: huile
QTY: 75 | UNIT: g | NAME: sucre roux
QTY: 100 | UNIT: g | NAME: maïzena
QTY: 15 | UNIT: g | NAME: sucre roux
QTY: 5 | UNIT: unité | NAME: coings
QTY: 50 | UNIT: g | NAME: jambon
QTY: N/A | UNIT: unité | NAME: vinaigre balsamique
QTY: 3 | UNIT: unité | NAME: biscottes
QTY: 5 | UNIT: g | NAME: beurre de cuisson
QTY: 120 | UNIT: g | NAME: miel
QTY: 80 | UNIT: g | NAME: beurre fondu
QTY: 200 | UNIT: g | NAME: thon à la tomate
QTY: 1 | UNIT: sachets | NAME: sucre à la cannelle
QTY: 2 | UNIT: cuillères à soupe | NAME: arôme fleur d'oranger
QTY: 100 | UNIT: g | NAME: farine de seigle
QTY: 4 | UNIT: g | NAME: cassonade
QTY: 30 | UNIT: g | NAME: chocolat noir Optionnel
QTY: 340 | UNIT: g | NAME: sucre
QTY: 100 | UNIT: g | NAME: sucre roux
QTY: 30 | UNIT: cl | NAME: lait
QTY: 150 | UNIT: g | NAME: mélasse
QTY: 2 | UNIT: cuillères à soupe | NAME: eau
QTY: 1 | UNIT: barquettes | NAME: framboises
QTY: 250 | UNIT: ml | NAME: farine
QTY: 70 | UNIT: g | NAME: cassonade
QTY: 3 | UNIT: cl | NAME: eau
QTY: 5 | UNIT: ml | NAME: sel
QTY: 100 | UNIT: g | NAME: chocolat noir
QTY: N/A | UNIT: feuille | NAME: basilic frais
QTY: 500 | UNIT: g | NAME: tomate bien mûres
QTY: N/A | UNIT: unité | NAME: lemon curd
QTY: 50 | UNIT: g | NAME: feta
QTY: 125 | UNIT: g | NAME: farine
QTY: 1 | UNIT: bouquets | NAME: basilic
QTY: 105 | UNIT: g | NAME: maïzena
QTY: 2 | UNIT: cuillères à soupe | NAME: cacao en poudre
QTY: 40 | UNIT: g | NAME: sirop d'agave
QTY: 1 | UNIT: paquets | NAME: feta coupée en dés
QTY: 10 | UNIT: g | NAME: sucre
QTY: 2 | UNIT: cuillères à soupe | NAME: farine
QTY: 1 | UNIT: tasses | NAME: banane mûres écrasées
QTY: 125 | UNIT: g | NAME: sucre
QTY: 100 | UNIT: g | NAME: noix de pécan
QTY: 3 | UNIT: unité | NAME: citrons Gros
QTY: 240 | UNIT: g | NAME: chocolat praliné
QTY: 2 | UNIT: unité | NAME: pêches
QTY: N/A | UNIT: unité | NAME: origan
QTY: N/A | UNIT: unité | NAME: pruneau
QTY: 225 | UNIT: g | NAME: farine
QTY: N/A | UNIT: unité | NAME: Nutella
QTY: 7 | UNIT: g | NAME: levure chimique
QTY: 50 | UNIT: g | NAME: fromage râpé
QTY: 2 | UNIT: sachets | NAME: sucre à la cannelle
QTY: 20 | UNIT: g | NAME: sucre
QTY: 1/2 | UNIT: tasses | NAME: cassonade
QTY: N/A | UNIT: unité | NAME: noisettes
QTY: 70 | UNIT: g | NAME: farine
QTY: 2 | UNIT: cuillères à café | NAME: cannelle
QTY: 1 | UNIT: traits | NAME: lait
QTY: 20 | UNIT: g | NAME: pépite de nougatine
QTY: 2 | UNIT: cuillères à café | NAME: amandes
QTY: 1 | UNIT: unité | NAME: pommes granny smith
QTY: 6 | UNIT: cuillères à soupe | NAME: huile d'olive
QTY: 50 | UNIT: g | NAME: raisins secs
QTY: 25 | UNIT: g | NAME: maïzena
QTY: 3 | UNIT: unité | NAME: oeufs entiers
QTY: 120 | UNIT: g | NAME: chocolat
QTY: 1 | UNIT: tranches | NAME: cheddar
QTY: 90 | UNIT: g | NAME: maïzena
QTY: 60 | UNIT: g | NAME: sucre semoule
QTY: 4 | UNIT: cuillères à soupe | NAME: eau de fleur d'oranger
QTY: 100 | UNIT: unité | NAME: chocolat
QTY: 2 | UNIT: poignées | NAME: raisins secs
QTY: 12 | UNIT: cuillères | NAME: café de nutella
QTY: N/A | UNIT: unité | NAME: ciboulette
QTY: 4 | UNIT: unité | NAME: steaks hachés
QTY: N/A | UNIT: unité | NAME: noix de pécan hachées grossièrement
QTY: 10 | UNIT: cl | NAME: bière du nord
QTY: 500 | UNIT: ml | NAME: farine
QTY: 1/4 | UNIT: tasses | NAME: huile
QTY: 20 | UNIT: cl | NAME: lait entier
QTY: 1/2 | UNIT: pots | NAME: huile de colza /arachide
QTY: 40 | UNIT: g | NAME: chocolat en poudre
QTY: 2 | UNIT: petites cuillères | NAME: levure
QTY: 1 | UNIT: cuillères à café | NAME: huile d'olive
QTY: 50 | UNIT: g | NAME: beurre salé
QTY: 160 | UNIT: ml | NAME: compote de pommes
QTY: 75 | UNIT: g | NAME: noix de coco rapée
QTY: N/A | UNIT: unité | NAME: mayonnaise
QTY: 5 | UNIT: cl | NAME: vin blanc
QTY: 1 | UNIT: cuillères à soupe | NAME: orange
QTY: 75 | UNIT: g | NAME: sucre en poudre
QTY: 1 | UNIT: grosses pincées | NAME: sel
QTY: N/A | UNIT: unité | NAME: sucre glace
QTY: 1.5 | UNIT: unité | NAME: farine
QTY: N/A | UNIT: unité | NAME: carambar© préalablement fondu
QTY: 250 | UNIT: g | NAME: mascarpone
QTY: 125 | UNIT: ml | NAME: jus d'orange
QTY: N/A | UNIT: unité | NAME: citron vert
QTY: 1 | UNIT: demi cuillères à café | NAME: extrait de vanille
QTY: N/A | UNIT: unité | NAME: cannelle
QTY: 50 | UNIT: g | NAME: chocolat
QTY: 1 | UNIT: gousses | NAME: ail pelée
QTY: 1/4 | UNIT: unité | NAME: yaourts d'huile
QTY: 1 | UNIT: cuillères | NAME: levure chimique
QTY: N/A | UNIT: pincée | NAME: sésame
QTY: 20 | UNIT: unité | NAME: tomates cerise rondes
QTY: 30 | UNIT: g | NAME: maïzena
QTY: N/A | UNIT: unité | NAME: huile d'olive très fruitée
QTY: 5 | UNIT: cuillères à soupe | NAME: édulcorant liquide
QTY: 2 | UNIT: cuillères à soupe | NAME: huile de noix
QTY: 110 | UNIT: g | NAME: sucre roux fin
QTY: N/A | UNIT: unité | NAME: moules à muffins en papier
QTY: 2 | UNIT: cuillères à soupe | NAME: miel liquide
QTY: 250 | UNIT: g | NAME: chocolat
QTY: 2 | UNIT: unité | NAME: citrons
QTY: 1.5 | UNIT: tasses | NAME: farine
QTY: 150 | UNIT: g | NAME: sucre moitié blanc, moitié muscovado
QTY: 2 | UNIT: unité | NAME: oignons hachés
QTY: 4 | UNIT: tranches épaisses | NAME: gouda
QTY: 1/2 | UNIT: cuillères à café | NAME: vanille
QTY: 200 | UNIT: g | NAME: chocolat pâtissier
QTY: 40 | UNIT: g | NAME: amandes en poudre
QTY: 2 | UNIT: unité | NAME: pains anglais muffin
QTY: 125 | UNIT: ml | NAME: miel chaud
QTY: 4 | UNIT: cuillères à soupe | NAME: cacao Banania
QTY: 50 | UNIT: g | NAME: bacon
QTY: 3 | UNIT: tranches | NAME: jambon
QTY: 150 | UNIT: ml | NAME: boisson aux amandes
QTY: 25 | UNIT: cl | NAME: compote de pomme
QTY: 60 | UNIT: g | NAME: mûres
QTY: 60 | UNIT: g | NAME: vergeoise
QTY: 1 | UNIT: unité | NAME: ananas
QTY: 1 | UNIT: unité | NAME: boules de mozzarella
QTY: 4 | UNIT: tranches | NAME: jambon blanc
QTY: 250 | UNIT: g | NAME: myrtilles
QTY: 1/2 | UNIT: unité | NAME: levure chimique
QTY: 1 | UNIT: paquets | NAME: sucre vanillé
QTY: 150 | UNIT: g | NAME: fruits secs mélangés
QTY: 100 | UNIT: ml | NAME: huile de tournesol extra
QTY: 24 | UNIT: cl | NAME: lait
QTY: 80 | UNIT: g | NAME: pesto
QTY: 4 | UNIT: unité | NAME: cacao en poudre
QTY: 60 | UNIT: g | NAME: chocolat noir
QTY: 1 | UNIT: feuilles | NAME: laitue
QTY: 60 | UNIT: g | NAME: beurre mou en dés
QTY: 2 | UNIT: cuillères à soupe | NAME: lavande culinaire
QTY: 10 | UNIT: cl | NAME: crème liquide
QTY: 1 | UNIT: unité | NAME: oeufs battu
QTY: 2 | UNIT: cuillères à soupe | NAME: fromage râpé
QTY: N/A | UNIT: unité | NAME: Nutella selon le goût
QTY: 100 | UNIT: unité | NAME: myrtilles
QTY: 1 | UNIT: cuillères à soupe | NAME: sucre en poudre
QTY: 200 | UNIT: g | NAME: farine
QTY: 150 | UNIT: g | NAME: yaourt nature
QTY: 3 | UNIT: cuillères à café | NAME: sel
QTY: N/A | UNIT: unité | NAME: huile d'olive
QTY: 20 | UNIT: cl | NAME: sucre semoule
QTY: 5 | UNIT: g | NAME: levure chimique
QTY: 3 | UNIT: cuillères à soupe | NAME: huile de tournesol
QTY: N/A | UNIT: pot | NAME: pâte à tartiner
QTY: 12.5 | UNIT: cl | NAME: lait
QTY: 50 | UNIT: g | NAME: copeaux de chocolat
QTY: 5 | UNIT: cuillères à soupe | NAME: sucre
QTY: 100 | UNIT: g | NAME: rhubarbe
QTY: 4 | UNIT: cuillères à soupe | NAME: sucre en poudre
QTY: N/A | UNIT: unité | NAME: tomate de taille moyenne
QTY: 125 | UNIT: g | NAME: beurre demi-sel mou
QTY: 200 | UNIT: g | NAME: chorizo fort
QTY: 2 | UNIT: cuillères à soupe | NAME: huile d'olive /colza
QTY: 30 | UNIT: g | NAME: beurre afin de pouvoir beurrer les moules
QTY: 100 | UNIT: g | NAME: chocolat pâtissier
QTY: 15 | UNIT: g | NAME: amandes en poudre
QTY: 3 | UNIT: unité | NAME: oeufs
QTY: 1/2 | UNIT: cuillères à café | NAME: sel fin
QTY: 75 | UNIT: g | NAME: emmental râpé
QTY: 1 | UNIT: cuillères à café | NAME: levure
QTY: N/A | UNIT: unité | NAME: poivre du moulin
QTY: 350 | UNIT: g | NAME: aubergine
QTY: 1 | UNIT: unité | NAME: oranges
QTY: 150 | UNIT: g | NAME: beurre salé
QTY: 110 | UNIT: g | NAME: noix de coco rapée
QTY: 50 | UNIT: g | NAME: noix brisée
QTY: 100 | UNIT: g | NAME: chocolat
QTY: 125 | UNIT: g | NAME: sucre en poudre
QTY: 1 | UNIT: grosses poignées | NAME: noix grossièrement hachées
QTY: 100 | UNIT: g | NAME: farine de maïs
QTY: N/A | UNIT: unité | NAME: cumin
QTY: 1 | UNIT: cuillères à café | NAME: bicarbonate de sodium
QTY: 1 | UNIT: unité | NAME: oeufs
QTY: 35 | UNIT: g | NAME: beurre
QTY: N/A | UNIT: goutte | NAME: fleur d'oranger
QTY: 200 | UNIT: g | NAME: pépites de chocolat
QTY: 100 | UNIT: g | NAME: fromage râpé
QTY: 3 | UNIT: cuillères à soupe | NAME: cardamome en poudre
QTY: 120 | UNIT: g | NAME: farine à poudre levante
QTY: 1 | UNIT: unité | NAME: bicarbonates de sodium
QTY: 50 | UNIT: g | NAME: farine de blé
QTY: 195 | UNIT: g | NAME: farine
QTY: 6 | UNIT: cuillères à soupe | NAME: fromage blanc à 0%
QTY: 1 | UNIT: boîtes | NAME: haricot à la tomate
QTY: 20 | UNIT: cl | NAME: crème liquide entière froide
QTY: 75 | UNIT: g | NAME: boursin
QTY: 25 | UNIT: cl | NAME: raisins secs
QTY: 1 | UNIT: unité | NAME: yaourts à l'abricot
QTY: 1 | UNIT: cuillères à soupe | NAME: miel
QTY: 2 | UNIT: cuillères à café | NAME: levure chimique
QTY: 30 | UNIT: g | NAME: riz
QTY: 150 | UNIT: g | NAME: parmesan râpé
QTY: 285 | UNIT: g | NAME: farine
QTY: 30 | UNIT: g | NAME: fécule de pomme de terre
QTY: 1 | UNIT: tablettes | NAME: chocolat blanc
QTY: 10 | UNIT: unité | NAME: roses
QTY: 5 | UNIT: g | NAME: bicarbonate
QTY: 1/2 | UNIT: unité | NAME: citrons
QTY: 1/2 | UNIT: bols | NAME: lait
QTY: 6 | UNIT: unité | NAME: Oreo cookies
QTY: 1/2 | UNIT: sachets | NAME: levure chimique
QTY: 1 | UNIT: pots | NAME: yaourt soja nature
QTY: 90 | UNIT: g | NAME: beurre salé
QTY: 12 | UNIT: carrés | NAME: chocolat au lait environ
QTY: N/A | UNIT: unité | NAME: raisins secs
QTY: 50 | UNIT: g | NAME: emmental râpé
QTY: 1 | UNIT: briques | NAME: crème semi liquide
QTY: 4 | UNIT: cuillères à soupe | NAME: huile
QTY: 1 | UNIT: cuillères à café | NAME: bicarbonate
QTY: 150 | UNIT: g | NAME: farine de blé
QTY: N/A | UNIT: unité | NAME: cerneau de noix concassés
QTY: 2 | UNIT: ml | NAME: piment de la Jamaïque
QTY: 1 | UNIT: pots | NAME: yaourt nature
QTY: 1/4 | UNIT: cuillères à café | NAME: sel
QTY: N/A | UNIT: unité | NAME: ketchup
QTY: 1 | UNIT: unité | NAME: yaourts
QTY: 7 | UNIT: cl | NAME: huile végétale type tournesol
QTY: 20 | UNIT: g | NAME: huile neutre
QTY: N/A | UNIT: unité | NAME: extrait de vanille liquide
QTY: 1 | UNIT: bonnes cuillères à soupe | NAME: orange
QTY: 250 | UNIT: g | NAME: beurre de cacahuètes
QTY: 1 | UNIT: unité | NAME: bananes
QTY: 1 | UNIT: cuillères à café | NAME: romarin haché
QTY: 100 | UNIT: g | NAME: eau
QTY: 1 | UNIT: branches | NAME: thym
QTY: 25 | UNIT: g | NAME: beurre fondu
QTY: 200 | UNIT: g | NAME: caramel au beurre salé
QTY: N/A | UNIT: unité | NAME: beurre
QTY: 375 | UNIT: ml | NAME: lait
QTY: 100 | UNIT: g | NAME: pépites de chocolat
QTY: 150 | UNIT: g | NAME: myrtilles congelées
QTY: 1 | UNIT: cuillères à café | NAME: arôme vanille
QTY: 25 | UNIT: g | NAME: beurre
QTY: 165 | UNIT: g | NAME: cassonade
QTY: 3 | UNIT: unité | NAME: bananes moyennes
